ID,X,Y,movie
2,362,257,Term1_night_0_オサムシ2
2,362,257,Term1_night_0_オサムシ2
2,362,258,Term1_night_0_オサムシ2
2,363,258,Term1_night_0_オサムシ2
2,363,258,Term1_night_0_オサムシ2
2,364,258,Term1_night_0_オサムシ2
2,364,258,Term1_night_0_オサムシ2
2,365,258,Term1_night_0_オサムシ2
2,366,259,Term1_night_0_オサムシ2
2,367,259,Term1_night_0_オサムシ2
2,367,259,Term1_night_0_オサムシ2
2,368,259,Term1_night_0_オサムシ2
2,368,260,Term1_night_0_オサムシ2
2,369,260,Term1_night_0_オサムシ2
2,369,260,Term1_night_0_オサムシ2
2,371,261,Term1_night_0_オサムシ2
2,371,261,Term1_night_0_オサムシ2
2,372,262,Term1_night_0_オサムシ2
2,373,263,Term1_night_0_オサムシ2
2,374,263,Term1_night_0_オサムシ2
2,374,263,Term1_night_0_オサムシ2
2,375,264,Term1_night_0_オサムシ2
2,375,264,Term1_night_0_オサムシ2
2,376,265,Term1_night_0_オサムシ2
2,376,265,Term1_night_0_オサムシ2
2,376,265,Term1_night_0_オサムシ2
2,376,266,Term1_night_0_オサムシ2
2,376,266,Term1_night_0_オサムシ2
2,376,266,Term1_night_0_オサムシ2
2,376,266,Term1_night_0_オサムシ2
2,375,266,Term1_night_0_オサムシ2
2,375,267,Term1_night_0_オサムシ2
2,375,267,Term1_night_0_オサムシ2
2,375,268,Term1_night_0_オサムシ2
2,375,268,Term1_night_0_オサムシ2
2,375,268,Term1_night_0_オサムシ2
2,375,269,Term1_night_0_オサムシ2
2,374,269,Term1_night_0_オサムシ2
2,374,269,Term1_night_0_オサムシ2
2,374,270,Term1_night_0_オサムシ2
2,374,270,Term1_night_0_オサムシ2
2,373,270,Term1_night_0_オサムシ2
2,373,271,Term1_night_0_オサムシ2
2,372,271,Term1_night_0_オサムシ2
2,371,271,Term1_night_0_オサムシ2
2,370,272,Term1_night_0_オサムシ2
2,370,272,Term1_night_0_オサムシ2
2,370,272,Term1_night_0_オサムシ2
2,369,272,Term1_night_0_オサムシ2
2,369,272,Term1_night_0_オサムシ2
2,368,273,Term1_night_0_オサムシ2
2,368,273,Term1_night_0_オサムシ2
2,368,273,Term1_night_0_オサムシ2
